"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_6710","05:54:00","05:54:00","89","4","0","0"
"GO103_25_6710","05:56:00","05:56:00","175","5","0","0"
"GO103_25_6710","05:58:00","05:58:00","359","6","0","0"
"GO103_25_6710","06:01:00","06:01:00","23","7","0","0"
"GO103_25_6710","06:04:00","06:04:00","63","8","0","0"
"GO103_25_6710","06:07:00","06:07:00","195","9","0","0"
"GO103_25_6710","06:10:00","06:10:00","149","10","0","0"
"GO103_25_6710","06:13:00","06:13:00","68","11","0","0"
"GO103_25_6710","06:16:00","06:16:00","36","12","0","0"
"GO103_25_6710","06:20:00","06:20:00","84","13","0","0"
"GO103_25_6711","05:33:00","05:33:00","84","1","0","0"
"GO103_25_6711","05:37:00","05:37:00","36","2","0","0"
"GO103_25_6711","05:40:00","05:40:00","68","3","0","0"
"GO103_25_6711","05:42:00","05:42:00","149","4","0","0"
"GO103_25_6711","05:45:00","05:45:00","195","5","0","0"
"GO103_25_6711","05:48:00","05:48:00","63","6","0","0"
"GO103_25_6711","05:50:00","05:50:00","23","7","0","0"
"GO103_25_6711","05:52:00","05:52:00","359","8","0","0"
"GO103_25_6711","05:55:00","05:55:00","175","9","0","0"
"GO103_25_6711","05:58:00","05:58:00","89","10","0","0"
"GO103_25_6711","06:00:00","06:00:00","86","11","1","1"
"GO103_25_6711","06:05:00","06:07:00","102","12","0","0"
"GO103_25_6711","06:26:00","06:26:00","349","13","0","0"
"GO103_25_6712","06:30:00","06:30:00","349","1","0","0"
"GO103_25_6712","06:51:00","06:53:00","102","2","0","0"
"GO103_25_6712","06:58:00","06:58:00","86","3","1","1"
"GO103_25_6712","07:00:00","07:00:00","89","4","0","0"
"GO103_25_6712","07:03:00","07:03:00","175","5","0","0"
"GO103_25_6712","07:05:00","07:05:00","359","6","0","0"
"GO103_25_6712","07:07:00","07:07:00","23","7","0","0"
"GO103_25_6712","07:09:00","07:09:00","63","8","0","0"
"GO103_25_6712","07:12:00","07:12:00","195","9","0","0"
"GO103_25_6712","07:15:00","07:15:00","149","10","0","0"
"GO103_25_6712","07:18:00","07:18:00","68","11","0","0"
"GO103_25_6712","07:21:00","07:21:00","36","12","0","0"
"GO103_25_6712","07:25:00","07:25:00","84","13","0","0"
"GO103_25_6713","06:31:00","06:31:00","84","1","0","0"
"GO103_25_6713","06:35:00","06:35:00","36","2","0","0"
"GO103_25_6713","06:38:00","06:38:00","68","3","0","0"
"GO103_25_6713","06:40:00","06:40:00","149","4","0","0"
"GO103_25_6713","06:43:00","06:43:00","195","5","0","0"
"GO103_25_6713","06:46:00","06:46:00","63","6","0","0"
"GO103_25_6713","06:48:00","06:48:00","23","7","0","0"
"GO103_25_6713","06:50:00","06:50:00","359","8","0","0"
"GO103_25_6713","06:53:00","06:53:00","175","9","0","0"
"GO103_25_6713","06:56:00","06:56:00","89","10","0","0"
"GO103_25_6713","06:58:00","06:58:00","86","11","1","1"
"GO103_25_6713","07:03:00","07:05:00","102","12","0","0"
"GO103_25_6713","07:25:00","07:25:00","349","13","0","0"
"GO103_25_6714","07:25:00","07:25:00","349","1","0","0"
"GO103_25_6714","07:46:00","07:48:00","102","2","0","0"
"GO103_25_6714","07:52:00","07:52:00","86","3","1","1"
"GO103_25_6714","07:54:00","07:54:00","89","4","0","0"
"GO103_25_6714","07:57:00","07:57:00","175","5","0","0"
